,index,result,table,_field,_value,_time,derivative
0,0,_result,0,HT_FY_2180.PV,11.366206896551724,2022-11-17 15:08:00+00:00,0.0
50,50,_result,5,HT_VI_2187A.PV,11.26,2022-11-17 15:08:00+00:00,0.0
70,70,_result,7,HT_VI_2188A.PV,3.44,2022-11-17 15:08:00+00:00,0.0
80,80,_result,8,HT_VI_2188B.PV,5.8808333333333325,2022-11-17 15:08:00+00:00,0.0
40,40,_result,4,HT_VI_2184B.PV,5.497777777777777,2022-11-17 15:08:00+00:00,0.0
90,90,_result,9,HT_ZI_2180A.PV,-0.13154985833333332,2022-11-17 15:08:00+00:00,0.0
30,30,_result,3,HT_VI_2184A.PV,4.98,2022-11-17 15:08:00+00:00,0.0
100,100,_result,10,HT_ZI_2180B.PV,-0.11814005833333334,2022-11-17 15:08:00+00:00,0.0
20,20,_result,2,HT_VI_2183B.PV,12.581176470588236,2022-11-17 15:08:00+00:00,0.0
110,110,_result,11,HT_ZI_2181A.PV,-0.16064425714285716,2022-11-17 15:08:00+00:00,0.0
60,60,_result,6,HT_VI_2187B.PV,11.995882352941177,2022-11-17 15:08:00+00:00,0.0
10,10,_result,1,HT_VI_2183A.PV,9.598823529411765,2022-11-17 15:08:00+00:00,0.0
120,120,_result,12,HT_ZI_2181B.PV,-0.14588153125,2022-11-17 15:08:00+00:00,0.0
11,11,_result,1,HT_VI_2183A.PV,9.928666666666667,2022-11-17 15:09:00+00:00,0.0
51,51,_result,5,HT_VI_2187A.PV,11.81625,2022-11-17 15:09:00+00:00,0.0
1,1,_result,0,HT_FY_2180.PV,11.189,2022-11-17 15:09:00+00:00,0.0
71,71,_result,7,HT_VI_2188A.PV,3.4275,2022-11-17 15:09:00+00:00,0.0
41,41,_result,4,HT_VI_2184B.PV,5.507272727272727,2022-11-17 15:09:00+00:00,0.0
81,81,_result,8,HT_VI_2188B.PV,5.91,2022-11-17 15:09:00+00:00,0.0
31,31,_result,3,HT_VI_2184A.PV,5.056666666666667,2022-11-17 15:09:00+00:00,0.0
61,61,_result,6,HT_VI_2187B.PV,12.728750000000002,2022-11-17 15:09:00+00:00,0.0
121,121,_result,12,HT_ZI_2181B.PV,-0.1457855181818182,2022-11-17 15:09:00+00:00,0.0
101,101,_result,10,HT_ZI_2180B.PV,-0.1181503923076923,2022-11-17 15:09:00+00:00,0.0
91,91,_result,9,HT_ZI_2180A.PV,-0.13163495384615384,2022-11-17 15:09:00+00:00,0.0
21,21,_result,2,HT_VI_2183B.PV,13.83375,2022-11-17 15:09:00+00:00,0.0
111,111,_result,11,HT_ZI_2181A.PV,-0.16057894545454546,2022-11-17 15:09:00+00:00,0.0
102,102,_result,10,HT_ZI_2180B.PV,-0.11831285384615385,2022-11-17 15:10:00+00:00,1.8992942475633847
112,112,_result,11,HT_ZI_2181A.PV,-0.16022868461538461,2022-11-17 15:10:00+00:00,0.6991071866653016
72,72,_result,7,HT_VI_2188A.PV,3.3899999999999997,2022-11-17 15:10:00+00:00,1.4126528943386443
82,82,_result,8,HT_VI_2188B.PV,5.959999999999999,2022-11-17 15:10:00+00:00,1.7485244674289708
2,2,_result,0,HT_FY_2180.PV,11.015333333333333,2022-11-17 15:10:00+00:00,1.4428503837759332
12,12,_result,1,HT_VI_2183A.PV,10.038235294117646,2022-11-17 15:10:00+00:00,0.011918757800111424
42,42,_result,4,HT_VI_2184B.PV,5.477777777777778,2022-11-17 15:10:00+00:00,0.7652300995258268
52,52,_result,5,HT_VI_2187A.PV,11.588125000000002,2022-11-17 15:10:00+00:00,0.907021907956413
122,122,_result,12,HT_ZI_2181B.PV,-0.14548929333333332,2022-11-17 15:10:00+00:00,1.77028591527847
92,92,_result,9,HT_ZI_2180A.PV,-0.13170455384615384,2022-11-17 15:10:00+00:00,1.8878332869773105
62,62,_result,6,HT_VI_2187B.PV,12.887058823529411,2022-11-17 15:10:00+00:00,0.4544376084921806
22,22,_result,2,HT_VI_2183B.PV,13.462352941176471,2022-11-17 15:10:00+00:00,0.3199448118621988
32,32,_result,3,HT_VI_2184A.PV,5.009230769230769,2022-11-17 15:10:00+00:00,0.829009344745723
53,53,_result,5,HT_VI_2187A.PV,10.42470588235294,2022-11-17 15:11:00+00:00,0.907021907956413
13,13,_result,1,HT_VI_2183A.PV,9.054705882352941,2022-11-17 15:11:00+00:00,0.011918757800111424
113,113,_result,11,HT_ZI_2181A.PV,-0.15992825833333332,2022-11-17 15:11:00+00:00,0.6991071866653016
63,63,_result,6,HT_VI_2187B.PV,11.016470588235293,2022-11-17 15:11:00+00:00,0.4544376084921806
73,73,_result,7,HT_VI_2188A.PV,3.304444444444444,2022-11-17 15:11:00+00:00,1.4126528943386443
93,93,_result,9,HT_ZI_2180A.PV,-0.13189556875,2022-11-17 15:11:00+00:00,1.8878332869773105
43,43,_result,4,HT_VI_2184B.PV,5.449999999999998,2022-11-17 15:11:00+00:00,0.7652300995258268
23,23,_result,2,HT_VI_2183B.PV,10.972941176470588,2022-11-17 15:11:00+00:00,0.3199448118621988
83,83,_result,8,HT_VI_2188B.PV,6.012727272727273,2022-11-17 15:11:00+00:00,1.7485244674289708
123,123,_result,12,HT_ZI_2181B.PV,-0.1453283642857143,2022-11-17 15:11:00+00:00,1.77028591527847
33,33,_result,3,HT_VI_2184A.PV,5.047142857142858,2022-11-17 15:11:00+00:00,0.829009344745723
103,103,_result,10,HT_ZI_2180B.PV,-0.11856248666666667,2022-11-17 15:11:00+00:00,1.8992942475633847
3,3,_result,0,HT_FY_2180.PV,11.455000000000002,2022-11-17 15:11:00+00:00,1.4428503837759332
74,74,_result,7,HT_VI_2188A.PV,3.2728571428571427,2022-11-17 15:12:00+00:00,0.0
84,84,_result,8,HT_VI_2188B.PV,6.046,2022-11-17 15:12:00+00:00,0.0
114,114,_result,11,HT_ZI_2181A.PV,-0.15977222307692307,2022-11-17 15:12:00+00:00,0.0
104,104,_result,10,HT_ZI_2180B.PV,-0.11866097692307692,2022-11-17 15:12:00+00:00,0.0
94,94,_result,9,HT_ZI_2180A.PV,-0.13205270833333335,2022-11-17 15:12:00+00:00,0.0
124,124,_result,12,HT_ZI_2181B.PV,-0.145152375,2022-11-17 15:12:00+00:00,0.0
64,64,_result,6,HT_VI_2187B.PV,11.631333333333338,2022-11-17 15:12:00+00:00,0.0
34,34,_result,3,HT_VI_2184A.PV,5.0441666666666665,2022-11-17 15:12:00+00:00,0.0
54,54,_result,5,HT_VI_2187A.PV,10.758125,2022-11-17 15:12:00+00:00,0.0
14,14,_result,1,HT_VI_2183A.PV,9.368000000000002,2022-11-17 15:12:00+00:00,0.0
4,4,_result,0,HT_FY_2180.PV,11.44344827586207,2022-11-17 15:12:00+00:00,0.0
44,44,_result,4,HT_VI_2184B.PV,5.472499999999999,2022-11-17 15:12:00+00:00,0.0
24,24,_result,2,HT_VI_2183B.PV,11.820625,2022-11-17 15:12:00+00:00,0.0
105,105,_result,10,HT_ZI_2180B.PV,-0.1187078875,2022-11-17 15:13:00+00:00,0.0
35,35,_result,3,HT_VI_2184A.PV,5.08,2022-11-17 15:13:00+00:00,0.0
5,5,_result,0,HT_FY_2180.PV,10.849642857142856,2022-11-17 15:13:00+00:00,0.0
85,85,_result,8,HT_VI_2188B.PV,6.099166666666666,2022-11-17 15:13:00+00:00,0.0
25,25,_result,2,HT_VI_2183B.PV,12.501764705882355,2022-11-17 15:13:00+00:00,0.0
125,125,_result,12,HT_ZI_2181B.PV,-0.1449493,2022-11-17 15:13:00+00:00,0.0
75,75,_result,7,HT_VI_2188A.PV,3.252222222222222,2022-11-17 15:13:00+00:00,0.0
45,45,_result,4,HT_VI_2184B.PV,5.41,2022-11-17 15:13:00+00:00,0.0
95,95,_result,9,HT_ZI_2180A.PV,-0.13211304,2022-11-17 15:13:00+00:00,0.0
115,115,_result,11,HT_ZI_2181A.PV,-0.15941636923076924,2022-11-17 15:13:00+00:00,0.0
55,55,_result,5,HT_VI_2187A.PV,11.160588235294117,2022-11-17 15:13:00+00:00,0.0
15,15,_result,1,HT_VI_2183A.PV,9.61,2022-11-17 15:13:00+00:00,0.0
65,65,_result,6,HT_VI_2187B.PV,12.175294117647057,2022-11-17 15:13:00+00:00,0.0
106,106,_result,10,HT_ZI_2180B.PV,-0.11877702500000001,2022-11-17 15:14:00+00:00,-1.8867096673251798
6,6,_result,0,HT_FY_2180.PV,11.517666666666667,2022-11-17 15:14:00+00:00,-1.0332459701093482
56,56,_result,5,HT_VI_2187A.PV,10.697647058823529,2022-11-17 15:14:00+00:00,-0.024559800524369235
116,116,_result,11,HT_ZI_2181A.PV,-0.1593511642857143,2022-11-17 15:14:00+00:00,-1.1527564561887689
86,86,_result,8,HT_VI_2188B.PV,6.081818181818182,2022-11-17 15:14:00+00:00,-0.31280032531765856
46,46,_result,4,HT_VI_2184B.PV,5.376153846153847,2022-11-17 15:14:00+00:00,-0.3379146581593768
36,36,_result,3,HT_VI_2184A.PV,5.05875,2022-11-17 15:14:00+00:00,-0.5821288195801775
66,66,_result,6,HT_VI_2187B.PV,11.408750000000001,2022-11-17 15:14:00+00:00,-1.0133727388538374
16,16,_result,1,HT_VI_2183A.PV,9.123529411764705,2022-11-17 15:14:00+00:00,-1.930292712409473
126,126,_result,12,HT_ZI_2181B.PV,-0.14490598000000002,2022-11-17 15:14:00+00:00,-1.1595052935795844
96,96,_result,9,HT_ZI_2180A.PV,-0.1321828411764706,2022-11-17 15:14:00+00:00,-1.6853520822416217
76,76,_result,7,HT_VI_2188A.PV,3.267777777777778,2022-11-17 15:14:00+00:00,-1.1725507468319738
26,26,_result,2,HT_VI_2183B.PV,11.515,2022-11-17 15:14:00+00:00,-0.5774296715198504
7,7,_result,0,HT_FY_2180.PV,11.671666666666669,2022-11-17 15:15:00+00:00,-1.0332459701093482
17,17,_result,1,HT_VI_2183A.PV,9.765,2022-11-17 15:15:00+00:00,-1.930292712409473
107,107,_result,10,HT_ZI_2180B.PV,-0.11895135999999999,2022-11-17 15:15:00+00:00,-1.8867096673251798
97,97,_result,9,HT_ZI_2180A.PV,-0.13235442,2022-11-17 15:15:00+00:00,-1.6853520822416217
27,27,_result,2,HT_VI_2183B.PV,13.4775,2022-11-17 15:15:00+00:00,-0.5774296715198504
117,117,_result,11,HT_ZI_2181A.PV,-0.15911604545454547,2022-11-17 15:15:00+00:00,-1.1527564561887689
57,57,_result,5,HT_VI_2187A.PV,11.386875,2022-11-17 15:15:00+00:00,-0.024559800524369235
87,87,_result,8,HT_VI_2188B.PV,6.096153846153846,2022-11-17 15:15:00+00:00,-0.31280032531765856
37,37,_result,3,HT_VI_2184A.PV,5.036428571428572,2022-11-17 15:15:00+00:00,-0.5821288195801775
67,67,_result,6,HT_VI_2187B.PV,12.48125,2022-11-17 15:15:00+00:00,-1.0133727388538374
77,77,_result,7,HT_VI_2188A.PV,3.2681818181818176,2022-11-17 15:15:00+00:00,-1.1725507468319738
47,47,_result,4,HT_VI_2184B.PV,5.403,2022-11-17 15:15:00+00:00,-0.3379146581593768
127,127,_result,12,HT_ZI_2181B.PV,-0.14471057142857144,2022-11-17 15:15:00+00:00,-1.1595052935795844
28,28,_result,2,HT_VI_2183B.PV,11.749411764705883,2022-11-17 15:16:00+00:00,0.0
118,118,_result,11,HT_ZI_2181A.PV,-0.15904824166666667,2022-11-17 15:16:00+00:00,0.0
128,128,_result,12,HT_ZI_2181B.PV,-0.144616,2022-11-17 15:16:00+00:00,0.0
68,68,_result,6,HT_VI_2187B.PV,11.25470588235294,2022-11-17 15:16:00+00:00,0.0
48,48,_result,4,HT_VI_2184B.PV,5.402,2022-11-17 15:16:00+00:00,0.0
58,58,_result,5,HT_VI_2187A.PV,10.680588235294117,2022-11-17 15:16:00+00:00,0.0
18,18,_result,1,HT_VI_2183A.PV,9.288235294117648,2022-11-17 15:16:00+00:00,0.0
8,8,_result,0,HT_FY_2180.PV,11.276206896551725,2022-11-17 15:16:00+00:00,0.0
78,78,_result,7,HT_VI_2188A.PV,3.2800000000000002,2022-11-17 15:16:00+00:00,0.0
38,38,_result,3,HT_VI_2184A.PV,5.024615384615384,2022-11-17 15:16:00+00:00,0.0
98,98,_result,9,HT_ZI_2180A.PV,-0.13235440588235292,2022-11-17 15:16:00+00:00,0.0
108,108,_result,10,HT_ZI_2180B.PV,-0.11903733529411765,2022-11-17 15:16:00+00:00,0.0
88,88,_result,8,HT_VI_2188B.PV,6.093333333333333,2022-11-17 15:16:00+00:00,0.0
119,119,_result,11,HT_ZI_2181A.PV,-0.15922426666666667,2022-11-17 15:16:29.492961+00:00,0.0
59,59,_result,5,HT_VI_2187A.PV,11.408333333333333,2022-11-17 15:16:29.492961+00:00,0.0
109,109,_result,10,HT_ZI_2180B.PV,-0.11905862,2022-11-17 15:16:29.492961+00:00,0.0
19,19,_result,1,HT_VI_2183A.PV,9.81,2022-11-17 15:16:29.492961+00:00,0.0
99,99,_result,9,HT_ZI_2180A.PV,-0.13247508,2022-11-17 15:16:29.492961+00:00,0.0
29,29,_result,2,HT_VI_2183B.PV,12.928333333333335,2022-11-17 15:16:29.492961+00:00,0.0
89,89,_result,8,HT_VI_2188B.PV,6.0925,2022-11-17 15:16:29.492961+00:00,0.0
39,39,_result,3,HT_VI_2184A.PV,5.065,2022-11-17 15:16:29.492961+00:00,0.0
79,79,_result,7,HT_VI_2188A.PV,3.2575000000000003,2022-11-17 15:16:29.492961+00:00,0.0
49,49,_result,4,HT_VI_2184B.PV,5.396666666666666,2022-11-17 15:16:29.492961+00:00,0.0
69,69,_result,6,HT_VI_2187B.PV,12.118333333333334,2022-11-17 15:16:29.492961+00:00,0.0
9,9,_result,0,HT_FY_2180.PV,11.22875,2022-11-17 15:16:29.492961+00:00,0.0
129,129,_result,12,HT_ZI_2181B.PV,-0.14487577499999998,2022-11-17 15:16:29.492961+00:00,0.0
